Timestamp,PointId,PredictedValue,Status
2026-05-06 17:07:06,P1,37.960880279541016,OK
2026-05-06 17:07:06,P2,38.116607666015625,OK
2026-05-06 17:07:06,P3,38.46408081054688,OK
2026-05-06 17:07:06,P4,38.26259613037109,OK
2026-05-06 17:07:06,P5,34.01660919189453,OK
2026-05-06 17:07:06,P6,38.38669967651367,OK
2026-05-06 17:07:12,ID:1,37.960880279541016,OK
2026-05-06 17:07:12,ID:2,38.116607666015625,OK
2026-05-06 17:07:12,ID:3,38.46408081054688,OK
2026-05-06 17:07:12,ID:4,38.26259613037109,OK
2026-05-06 17:07:12,ID:5,34.01660919189453,OK
2026-05-06 17:07:12,ID:6,38.38669967651367,OK
2026-05-06 17:08:49,P1,37.960880279541016,OK
2026-05-06 17:08:49,P2,38.116607666015625,OK
2026-05-06 17:08:49,P3,38.46408081054688,OK
2026-05-06 17:08:49,P4,38.26259613037109,OK
2026-05-06 17:08:49,P5,34.01660919189453,OK
2026-05-06 17:08:49,P6,38.38669967651367,OK
2026-05-06 17:09:29,ID:1,37.960880279541016,OK
2026-05-06 17:09:29,ID:2,38.116607666015625,OK
2026-05-06 17:09:29,ID:3,38.46408081054688,OK
2026-05-06 17:09:29,ID:4,38.26259613037109,OK
2026-05-06 17:09:29,ID:5,34.01660919189453,OK
2026-05-06 17:09:29,ID:6,38.38669967651367,OK
2026-05-06 17:10:20,ID:1,37.960880279541016,OK
2026-05-06 17:10:20,ID:2,38.116607666015625,OK
2026-05-06 17:10:20,ID:3,38.46408081054688,OK
2026-05-06 17:10:20,ID:4,38.26259613037109,OK
2026-05-06 17:10:20,ID:5,34.01660919189453,OK
2026-05-06 17:10:20,ID:6,38.38669967651367,OK
2026-05-06 17:12:07,P1,37.69908905029297,OK
2026-05-06 17:12:07,P2,37.81683349609375,OK
2026-05-06 17:12:07,P3,38.2374267578125,OK
2026-05-06 17:12:07,P4,38.21798706054688,OK
2026-05-06 17:12:07,P5,33.77033233642578,OK
2026-05-06 17:12:07,P6,38.25612258911133,OK
2026-05-06 17:12:12,ID:1,37.69908905029297,OK
2026-05-06 17:12:12,ID:2,37.81683349609375,OK
2026-05-06 17:12:12,ID:3,38.2374267578125,OK
2026-05-06 17:12:12,ID:4,38.21798706054688,OK
2026-05-06 17:12:12,ID:5,33.77033233642578,OK
2026-05-06 17:12:12,ID:6,38.25612258911133,OK
2026-05-06 17:13:49,P1,37.69908905029297,OK
2026-05-06 17:13:49,P2,37.81683349609375,OK
2026-05-06 17:13:49,P3,38.2374267578125,OK
2026-05-06 17:13:49,P4,38.21798706054688,OK
2026-05-06 17:13:49,P5,33.77033233642578,OK
2026-05-06 17:13:49,P6,38.25612258911133,OK
2026-05-06 17:14:29,ID:1,37.69908905029297,OK
2026-05-06 17:14:29,ID:2,37.81683349609375,OK
2026-05-06 17:14:29,ID:3,38.2374267578125,OK
2026-05-06 17:14:29,ID:4,38.21798706054688,OK
2026-05-06 17:14:29,ID:5,33.77033233642578,OK
2026-05-06 17:14:29,ID:6,38.25612258911133,OK
2026-05-06 17:15:20,ID:1,37.69908905029297,OK
2026-05-06 17:15:20,ID:2,37.81683349609375,OK
2026-05-06 17:15:20,ID:3,38.2374267578125,OK
2026-05-06 17:15:20,ID:4,38.21798706054688,OK
2026-05-06 17:15:20,ID:5,33.77033233642578,OK
2026-05-06 17:15:20,ID:6,38.25612258911133,OK
2026-05-06 17:17:07,P1,38.25400161743164,OK
2026-05-06 17:17:07,P2,38.45370101928711,OK
2026-05-06 17:17:07,P3,38.67797088623047,OK
2026-05-06 17:17:07,P4,38.478004455566406,OK
2026-05-06 17:17:07,P5,34.29240036010742,OK
2026-05-06 17:17:07,P6,38.609619140625,OK
2026-05-06 17:17:12,ID:1,38.25400161743164,OK
2026-05-06 17:17:12,ID:2,38.45370101928711,OK
2026-05-06 17:17:12,ID:3,38.67797088623047,OK
2026-05-06 17:17:12,ID:4,38.478004455566406,OK
2026-05-06 17:17:12,ID:5,34.29240036010742,OK
2026-05-06 17:17:12,ID:6,38.609619140625,OK
2026-05-06 17:18:50,P1,38.25400161743164,OK
2026-05-06 17:18:50,P2,38.45370101928711,OK
2026-05-06 17:18:50,P3,38.67797088623047,OK
2026-05-06 17:18:50,P4,38.478004455566406,OK
2026-05-06 17:18:50,P5,34.29240036010742,OK
2026-05-06 17:18:50,P6,38.609619140625,OK
2026-05-06 17:19:29,ID:1,38.25400161743164,OK
2026-05-06 17:19:29,ID:2,38.45370101928711,OK
2026-05-06 17:19:29,ID:3,38.67797088623047,OK
2026-05-06 17:19:29,ID:4,38.478004455566406,OK
2026-05-06 17:19:29,ID:5,34.29240036010742,OK
2026-05-06 17:19:29,ID:6,38.609619140625,OK
2026-05-06 17:20:21,ID:1,38.25400161743164,OK
2026-05-06 17:20:21,ID:2,38.45370101928711,OK
2026-05-06 17:20:21,ID:3,38.67797088623047,OK
2026-05-06 17:20:21,ID:4,38.478004455566406,OK
2026-05-06 17:20:21,ID:5,34.29240036010742,OK
2026-05-06 17:20:21,ID:6,38.609619140625,OK
2026-05-06 17:22:08,P1,37.6212043762207,OK
2026-05-06 17:22:08,P2,37.64736175537109,OK
2026-05-06 17:22:08,P3,38.17979049682617,OK
2026-05-06 17:22:08,P4,38.148624420166016,OK
2026-05-06 17:22:08,P5,33.686004638671875,OK
2026-05-06 17:22:08,P6,38.18380355834961,OK
2026-05-06 17:22:08,P1,37.6212043762207,OK
2026-05-06 17:22:08,P2,37.64736175537109,OK
2026-05-06 17:22:08,P3,38.17979049682617,OK
2026-05-06 17:22:08,P4,38.148624420166016,OK
2026-05-06 17:22:08,P5,33.686004638671875,OK
2026-05-06 17:22:08,P6,38.18380355834961,OK
2026-05-06 17:22:13,ID:1,37.6212043762207,OK
2026-05-06 17:22:13,ID:2,37.64736175537109,OK
2026-05-06 17:22:13,ID:3,38.17979049682617,OK
2026-05-06 17:22:13,ID:4,38.148624420166016,OK
2026-05-06 17:22:13,ID:5,33.686004638671875,OK
2026-05-06 17:22:13,ID:6,38.18380355834961,OK
2026-05-06 17:23:50,P1,37.6212043762207,OK
2026-05-06 17:23:50,P2,37.64736175537109,OK
2026-05-06 17:23:50,P3,38.17979049682617,OK
2026-05-06 17:23:50,P4,38.148624420166016,OK
2026-05-06 17:23:50,P5,33.686004638671875,OK
2026-05-06 17:23:50,P6,38.18380355834961,OK
2026-05-06 17:24:29,ID:1,37.6212043762207,OK
2026-05-06 17:24:29,ID:2,37.64736175537109,OK
2026-05-06 17:24:29,ID:3,38.17979049682617,OK
2026-05-06 17:24:29,ID:4,38.148624420166016,OK
2026-05-06 17:24:29,ID:5,33.686004638671875,OK
2026-05-06 17:24:29,ID:6,38.18380355834961,OK
2026-05-06 17:25:21,ID:1,37.6212043762207,OK
2026-05-06 17:25:21,ID:2,37.64736175537109,OK
2026-05-06 17:25:21,ID:3,38.17979049682617,OK
2026-05-06 17:25:21,ID:4,38.148624420166016,OK
